"name","rating","region"
"267"," Rhone",""
"268"," Rhone",""
"269"," Rhone",""
"270"," Rhone",""
"271"," Rhone",""
"272"," Rhone",""
"273"," Rhone",""
"274"," Rhone",""
"275"," Rhone",""
"276"," Rhone",""
"277"," Rhone",""
"278"," Italy\"",""
"279","Red Wine",""
"280"," Italy\"",""
"281"," Italy\"",""
"282"," Central Coast",""
"283"," Santa Barbara",""
"284"," Santa Barbara",""
"285","",""
"286","Collectible",""
"287"," Portugal\"",""
"288"," California\"",""
"289","Red Wine",""
"290","Red Wine",""
"291","Red Wine",""
"292","Red Wine",""
"293","Red Wine",""
"294","Red Wine",""
"295"," South Australia",""
"296"," South Australia",""
"297"," South Australia",""
"298"," South Australia",""
"299"," South Australia",""
"300","Red Wine",""
"301","Red Wine",""
"302","Red Wine",""
"303"," South Australia",""
"304"," South Australia",""
"305"," South Australia",""
"306"," South Australia",""
"307"," South Australia",""
"308"," Cote de Nuits",""
"309"," Cote de Nuits",""
"310"," Cote de Nuits",""
"311"," Cote de Nuits",""
"312"," Cote de Nuits",""
"313"," Cote de Nuits",""
"314"," Cote de Nuits",""
"315"," Cote de Nuits",""
"316"," France\"",""
"317"," France\"",""
"318"," Cote de Nuits",""
"319"," France\"",""
"320"," Cote de Nuits",""
"321"," Washington\"",""
"322"," Washington\"",""
"323"," Washington\"",""
"324"," Washington\"",""
"325"," Washington\"",""
"326"," Washington\"",""
"327"," Washington\"",""
"328"," Washington\"",""
"329"," Washington\"",""
"330"," Washington\"",""
"331"," Washington\"",""
"332"," Washington\"",""
"333"," Washington\"",""
"334"," Washington\"",""
"335"," Washington\"",""
"336"," Washington\"",""
"337"," Washington\"",""
"338"," Washington\"",""
"339"," Washington\"",""
"340"," Washington\"",""
"341"," Washington\"",""
"342"," Washington\"",""
"343"," Washington\"",""
"344"," Washington\"",""
"345"," Washington\"",""
"346"," Washington\"",""
"347"," Washington\"",""
"348"," Washington\"",""
"349"," Washington\"",""
"350"," Washington\"",""
"351"," Washington\"",""
"352"," Washington\"",""
"353"," Washington\"",""
"354"," Washington\"",""
"355"," Washington\"",""
"356"," Washington\"",""
"357"," Columbia Valley",""
"358"," Columbia Valley",""
